"Id","name_clean","PAIS","perc_occ","threshold","cumple","RankcA1","NormcA1"
"204",8650,"Espeletia jimenez-quesadae","COLOMBIA",0.0769230769230769,0.26,"Yes",4,0.0869565217391304
"205",9106,"Espeletia jimenez-quesadae","COLOMBIA",0.0384615384615385,0.26,"Yes",5,0.108695652173913
"206",9258,"Espeletia jimenez-quesadae","COLOMBIA",0.0384615384615385,0.26,"Yes",5,0.108695652173913
"207",9561,"Espeletia jimenez-quesadae","COLOMBIA",0.0384615384615385,0.26,"Yes",5,0.108695652173913
"208",9720,"Espeletia jimenez-quesadae","COLOMBIA",0.0384615384615385,0.26,"Yes",5,0.108695652173913
"209",2866,"Espeletia liscanoana","VENEZUELA",0.928571428571429,0.14,"Yes",1,0.333333333333333
"210",5141,"Espeletia liscanoana","VENEZUELA",0.0714285714285714,0.14,"Yes",2,0.666666666666667
"211",4538,"Espeletia lucida","VENEZUELA",0.444444444444444,0.09,"Yes",2,0.666666666666667
"212",4539,"Espeletia lucida","VENEZUELA",0.555555555555556,0.09,"Yes",1,0.333333333333333
"213",12458,"Espeletia miradorensis","COLOMBIA",1,0.01,"Yes",1,1
"214",8651,"Espeletia nemekenei","COLOMBIA",0.0526315789473684,0.19,"Yes",3,0.136363636363636
"215",8810,"Espeletia nemekenei","COLOMBIA",0.0526315789473684,0.19,"Yes",3,0.136363636363636
"216",8954,"Espeletia nemekenei","COLOMBIA",0.263157894736842,0.19,"Yes",1,0.0454545454545455
"217",9106,"Espeletia nemekenei","COLOMBIA",0.157894736842105,0.19,"Yes",2,0.0909090909090909
"218",9107,"Espeletia nemekenei","COLOMBIA",0.0526315789473684,0.19,"Yes",3,0.136363636363636
"219",9258,"Espeletia nemekenei","COLOMBIA",0.157894736842105,0.19,"Yes",2,0.0909090909090909
"220",9408,"Espeletia nemekenei","COLOMBIA",0.157894736842105,0.19,"Yes",2,0.0909090909090909
"221",9720,"Espeletia nemekenei","COLOMBIA",0.0526315789473684,0.19,"Yes",3,0.136363636363636
"222",10480,"Espeletia nemekenei","COLOMBIA",0.0526315789473684,0.19,"Yes",3,0.136363636363636
"223",9720,"Espeletia oswaldiana","COLOMBIA",0.0909090909090909,0.11,"Yes",3,0.5
"224",9872,"Espeletia oswaldiana","COLOMBIA",0.181818181818182,0.11,"Yes",2,0.333333333333333
"225",9874,"Espeletia oswaldiana","COLOMBIA",0.727272727272727,0.11,"Yes",1,0.166666666666667
"226",9258,"Espeletia paipana","COLOMBIA",1,0.05,"Yes",1,1
"227",1305,"Espeletia perijaensis","COLOMBIA",0.227272727272727,0.22,"Yes",2,0.0689655172413793
"228",1305,"Espeletia perijaensis","VENEZUELA",0.0454545454545455,0.22,"Yes",5,0.172413793103448
"229",1457,"Espeletia perijaensis","COLOMBIA",0.136363636363636,0.22,"Yes",3,0.103448275862069
"230",1458,"Espeletia perijaensis","COLOMBIA",0.318181818181818,0.22,"Yes",1,0.0344827586206897
"231",1458,"Espeletia perijaensis","VENEZUELA",0.0909090909090909,0.22,"Yes",4,0.137931034482759
"232",1610,"Espeletia perijaensis","COLOMBIA",0.0909090909090909,0.22,"Yes",4,0.137931034482759
"233",2069,"Espeletia perijaensis","COLOMBIA",0.0454545454545455,0.22,"Yes",5,0.172413793103448
"234",2069,"Espeletia perijaensis","VENEZUELA",0.0454545454545455,0.22,"Yes",5,0.172413793103448
"235",9405,"Espeletia pescana","COLOMBIA",0.0384615384615385,0.26,"Yes",4,0.19047619047619
"236",9416,"Espeletia pescana","COLOMBIA",0.0769230769230769,0.26,"Yes",3,0.142857142857143
"237",9568,"Espeletia pescana","COLOMBIA",0.423076923076923,0.26,"Yes",1,0.0476190476190476
"238",9717,"Espeletia pescana","COLOMBIA",0.0769230769230769,0.26,"Yes",3,0.142857142857143
"239",9721,"Espeletia pescana","COLOMBIA",0.0384615384615385,0.26,"Yes",4,0.19047619047619
"240",9870,"Espeletia pescana","COLOMBIA",0.307692307692308,0.26,"Yes",2,0.0952380952380952
"241",9875,"Espeletia pescana","COLOMBIA",0.0384615384615385,0.26,"Yes",4,0.19047619047619
"242",8959,"Espeletia pulcherrima","COLOMBIA",0.5,0.02,"Yes",1,0.5
"243",8960,"Espeletia pulcherrima","COLOMBIA",0.5,0.02,"Yes",1,0.5
"244",4538,"Espeletia purpurascens","VENEZUELA",0.0588235294117647,0.17,"Yes",4,0.222222222222222
"245",6359,"Espeletia purpurascens","VENEZUELA",0.235294117647059,0.17,"Yes",1,0.0555555555555556
"246",6511,"Espeletia purpurascens","COLOMBIA",0.117647058823529,0.17,"Yes",3,0.166666666666667
"247",6512,"Espeletia purpurascens","COLOMBIA",0.0588235294117647,0.17,"Yes",4,0.222222222222222
"248",6665,"Espeletia purpurascens","COLOMBIA",0.117647058823529,0.17,"Yes",3,0.166666666666667
"249",6665,"Espeletia purpurascens","VENEZUELA",0.235294117647059,0.17,"Yes",1,0.0555555555555556
"250",6666,"Espeletia purpurascens","VENEZUELA",0.176470588235294,0.17,"Yes",2,0.111111111111111
"251",10018,"Espeletia raquirensis","COLOMBIA",1,0.07,"Yes",1,1
"252",5738,"Espeletia roberti","COLOMBIA",0.631578947368421,0.19,"Yes",1,0.111111111111111
"253",6813,"Espeletia roberti","COLOMBIA",0.263157894736842,0.19,"Yes",2,0.222222222222222
"254",10611,"Espeletia roberti","COLOMBIA",0.0526315789473684,0.19,"Yes",3,0.333333333333333
"255",10916,"Espeletia roberti","COLOMBIA",0.0526315789473684,0.19,"Yes",3,0.333333333333333
"256",6966,"Espeletia rositae","COLOMBIA",0.2,0.15,"Yes",1,0.0476190476190476
"257",7427,"Espeletia rositae","COLOMBIA",0.0666666666666667,0.15,"Yes",3,0.142857142857143
"258",8495,"Espeletia rositae","COLOMBIA",0.0666666666666667,0.15,"Yes",3,0.142857142857143
"259",8650,"Espeletia rositae","COLOMBIA",0.0666666666666667,0.15,"Yes",3,0.142857142857143
"260",8801,"Espeletia rositae","COLOMBIA",0.0666666666666667,0.15,"Yes",3,0.142857142857143
"261",8802,"Espeletia rositae","COLOMBIA",0.2,0.15,"Yes",1,0.0476190476190476
"262",8803,"Espeletia rositae","COLOMBIA",0.133333333333333,0.15,"Yes",2,0.0952380952380952
"263",9568,"Espeletia rositae","COLOMBIA",0.133333333333333,0.15,"Yes",2,0.0952380952380952
"264",10916,"Espeletia rositae","COLOMBIA",0.0666666666666667,0.15,"Yes",3,0.142857142857143
"265",6661,"Espeletia sanchezii","COLOMBIA",0.0769230769230769,0.13,"Yes",2,0.4
