"Id","name_clean","PAIS","perc_occ_country","threshold","cumple","RankcA3","NormcA3"
"122",6359,"Espeletia steyermarkii","VENEZUELA",0.333333333333333,0.9,"Yes",1,0.142857142857143
"123",6665,"Espeletia steyermarkii","VENEZUELA",0.222222222222222,0.9,"Yes",2,0.285714285714286
"124",6667,"Espeletia steyermarkii","VENEZUELA",0.222222222222222,0.9,"Yes",2,0.285714285714286
"125",7121,"Espeletia steyermarkii","COLOMBIA",0.222222222222222,0.9,"Yes",2,0.285714285714286
"126",11847,"Espeletia summapacis","COLOMBIA",0.3,2,"Yes",2,0.333333333333333
"127",12153,"Espeletia summapacis","COLOMBIA",0.2,2,"Yes",3,0.5
"128",12306,"Espeletia summapacis","COLOMBIA",0.35,2,"Yes",1,0.166666666666667
"129",6359,"Espeletia tamana","VENEZUELA",0.3125,1.6,"Yes",2,0.333333333333333
"130",6511,"Espeletia tamana","COLOMBIA",0.375,1.6,"Yes",1,0.166666666666667
"131",6666,"Espeletia tamana","VENEZUELA",0.1875,1.6,"Yes",3,0.5
"132",9105,"Espeletia tibamoensis","COLOMBIA",0.5,0.2,"Yes",1,0.5
"133",9870,"Espeletia tibamoensis","COLOMBIA",0.5,0.2,"Yes",1,0.5
"134",9408,"Espeletia tunjana","COLOMBIA",0.127659574468085,4.7,"Yes",2,0.25
"135",9717,"Espeletia tunjana","COLOMBIA",0.148936170212766,4.7,"Yes",1,0.125
"136",9721,"Espeletia tunjana","COLOMBIA",0.127659574468085,4.7,"Yes",2,0.25
"137",9873,"Espeletia tunjana","COLOMBIA",0.106382978723404,4.7,"Yes",3,0.375
"138",8953,"Espeletiopsis laxiflora","COLOMBIA",1,0.1,"Yes",1,1
"139",10018,"Espeletiopsis rabanalensis","COLOMBIA",0.3,2,"Yes",1,0.166666666666667
"140",10170,"Espeletiopsis rabanalensis","COLOMBIA",0.15,2,"Yes",3,0.5
"141",10325,"Espeletiopsis rabanalensis","COLOMBIA",0.2,2,"Yes",2,0.333333333333333
